,job url,title,company name,exp,location,skill,salary,details
11,https://www.naukri.com/job-listings-One-of-the-Leading-IT-MNC-Stayinfront-Hiring-For-Python-Developer-StayinFront-India-Pvt-Ltd-Gandhinagar-5-to-10-years-150719000981?src=jobsearchDesk&sid=15631999005358&xp=12&px=1,One of the Leading IT MNC Stayinfront Hiring For Python Developer,StayinFront India Pvt. Ltd,5-10 yrs,Gandhinagar,"python program, Python Developer, python programmer",  Not disclosed  ," Posted  by     Ms. Reema    , Today "
12,https://www.naukri.com/job-listings-I-Openings-For-java-Python-c-c-data-Structure-Profiles-0-1-Year-CRM-Consultancy-Bengaluru-0-to-1-years-150719006614?src=jobsearchDesk&sid=15631999005358&xp=13&px=1,I Openings For java Python c c++ data Structure Profiles(0 -1 Year),CRM Consultancy,0-1 yrs,Bengaluru,java python c c++," INR 1,50,000 - 2,50,000 PA.   "," Posted  by     hr    , Few Hours Ago "
13,https://www.naukri.com/job-listings-Python-Developer-Urgent-Requirement-Karmick-Solutions-Pvt-Ltd-Kolkata-1-to-6-years-150719008771?src=jobsearchDesk&sid=15631999005358&xp=14&px=1,Python Developer - Urgent Requirement,Karmick Solutions Pvt. Ltd.,1-6 yrs,Kolkata,"python, Django, Python developer, Python programmer, Software developer..."," INR 1,75,000 - 6,00,000 PA.   "," Posted  by       Karmick    , Just Now "
14,https://www.naukri.com/job-listings-Java-Python-Docker-Kuberntes-sql-Nosql-Bangalore-Acesoft-Labs-India-Pvt-Ltd-Bengaluru-6-to-11-years-150719001358?src=jobsearchDesk&sid=15631999005358&xp=15&px=1,Java Python Docker Kuberntes sql Nosql Bangalore,Acesoft Labs (India) Pvt Ltd,6-11 yrs,Bengaluru,"Java, Docker, Java with python devops, Python",  Not disclosed  ," Posted  by     Arun    , Today "
15,https://www.naukri.com/job-listings-Python-Machine-Learning-Trainer-Training-Basket-Delhi-NCR-1-to-2-years-130719002861?src=jobsearchDesk&sid=15631999005358&xp=16&px=1,Python/ Machine Learning Trainer,Training Basket,1-2 yrs,Delhi NCR,"Machine Learning, Python"," INR 3,00,000 - 4,00,000 PA.   "," Posted  by     shadab khan    , 1 day ago "
16,https://www.naukri.com/job-listings-Senior-Python-Developer-MNC-Company-Chennai-4-to-8-years-150719004357?src=jobsearchDesk&sid=15631999005358&xp=17&px=1,Senior Python Developer,MNC Company,4-8 yrs,Chennai,"Django, Javascript, Python, Angularjs, Rest, Web Services, SQL, Front End...",  Not disclosed  ," Posted  by       Priya    , Few Hours Ago "
17,https://www.naukri.com/job-listings-Platform-Engineer-ETL-Python-Benchire-Bengaluru-2-to-5-years-150719906113?src=jobsearchDesk&sid=15631999005358&xp=18&px=1,Platform Engineer - ETL/ Python,Benchire,2-5 yrs,Bengaluru,"CI / CD Pipeline, Webservices, Cloud Infrastructure, Python, Javascript...",  Not disclosed  ," Posted  by     HR    , Just Now "
18,https://www.naukri.com/job-listings-Python-Developer-Todsys-Technologies-TODSYS-TECHNOLOGIES-PRIVATE-LIMITED-Bengaluru-4-to-9-years-150719007452?src=jobsearchDesk&sid=15631999005358&xp=19&px=1,Python Developer | Todsys Technologies,TODSYS TECHNOLOGIES PRIVATE LIMITED,4-9 yrs,Bengaluru,"Automation Tools, Java, R, Docker, Django, Artificial Intelligence..."," INR 5,00,000 - 15,00,000 PA.   "," Posted  by     Prakash    , Few Hours Ago "
19,https://www.naukri.com/job-listings-Python-Developer-Klaus-IT-Solutions-Pvt-Ltd-Chennai-5-to-10-years-150719006240?src=jobsearchDesk&sid=15631999005358&xp=20&px=1,Python Developer,Klaus IT Solutions Pvt. Ltd.,5-10 yrs,Chennai,"Django, Python, numpy, Pandas, Spicy",  Not disclosed  ," Posted  by     Swathi M    , Few Hours Ago "
20,https://www.naukri.com/job-listings-Senior-Python-Django-Developer-Lead-LOOP-IT-METHODS-PVT-LTD-Delhi-NCR-4-to-8-years-270519003224?src=jobsearchDesk&sid=15631999005358&xp=21&px=1,Senior Python Django Developer / Lead,LOOP IT METHODS PVT LTD,4-8 yrs,Delhi NCR,"Django, Javascript, Python, Rest, Web Services, Software Development..."," INR 7,00,000 - 12,00,000 PA.   "," Posted  by       Vimika Sharma    , Today "
